Tip ID,Frame,Y,X
190,0,3736,1924
191,0,3748,2097
192,0,3761,2092
193,0,3763,2044
194,0,3767,1775
195,0,3773,2077
196,0,3780,2084
197,0,3788,2467
198,0,3793,2081
199,0,3798,2080
200,0,3804,9225
201,0,3821,1783
202,0,3821,2070
203,0,3821,9260
204,0,3851,1795
205,0,3854,1785
206,0,3857,1803
207,0,3883,1835
208,0,3888,1827
209,0,3901,1994
210,0,3904,1809
211,0,3917,7873
212,0,3950,7672
213,0,3974,2019
214,0,4007,2233
215,0,4076,6269
216,0,4102,9300
217,0,4116,1828
218,0,4116,1836
219,0,4122,9277
220,0,4124,6244
221,0,4134,3381
222,0,4137,3512
223,0,4137,9254
224,0,4139,3514
225,0,4169,2384
226,0,4178,2190
227,0,4183,2382
228,0,4191,2384
229,0,4211,3706
230,0,4215,7687
231,0,4217,7667
232,0,4229,7708
233,0,4232,7893
234,0,4235,1838
235,0,4235,2199
236,0,4236,2448
237,0,4248,7740
238,0,4252,1838
239,0,4260,1850
240,0,4264,1839
241,0,4276,2734
242,0,4292,6566
243,0,4296,1844
244,0,4297,1859
245,0,4297,1874
246,0,4298,2260
247,0,4300,2332
248,0,4302,2371
249,0,4304,2747
250,0,4305,1872
251,0,4311,2133
252,0,4312,2322
253,0,4319,5225
254,0,4330,2341
255,0,4332,3086
256,0,4333,2554
257,0,4334,2061
258,0,4336,2080
259,0,4339,2208
260,0,4343,2171
261,0,4350,2674
262,0,4352,2190
263,0,4360,2807
264,0,4387,2014
265,0,4398,2681
266,0,4404,2682
267,0,4405,2508
268,0,4409,2461
269,0,4410,2854
270,0,4411,2508
271,0,4421,2665
272,0,4425,2539
273,0,4444,2636
274,0,4446,5133
275,0,4447,3027
276,0,4480,2055
277,0,4482,2525
278,0,4489,2524
279,0,4489,3180
280,0,4491,2778
281,0,4491,3822
282,0,4498,2961
283,0,4500,2582
284,0,4501,2915
285,0,4513,3804
286,0,4519,1878
287,0,4522,3793
288,0,4531,2804
289,0,4535,2685
290,0,4536,2595
291,0,4539,1863
292,0,4539,2733
293,0,4542,9051
294,0,4544,1876
295,0,4545,3593
296,0,4557,7859
297,0,4560,2979
298,0,4568,2577
299,0,4569,3144
300,0,4581,2648
301,0,4586,2039
302,0,4586,2458
303,0,4586,2646
304,0,4587,2468
305,0,4589,7722
306,0,4593,2102
307,0,4594,7717
308,0,4599,2684
309,0,4600,2108
310,0,4604,3227
311,0,4607,2153
312,0,4608,2159
313,0,4618,2182
314,0,4623,2550
315,0,4624,3459
316,0,4625,2059
317,0,4627,2143
318,0,4628,2411
319,0,4633,2179
320,0,4633,2618
321,0,4634,2187
322,0,4635,2204
323,0,4637,2420
324,0,4640,7705
325,0,4643,2396
326,0,4647,2388
327,0,4648,2379
328,0,4649,2230
329,0,4653,2186
330,0,4653,2346
331,0,4654,2191
332,0,4654,2616
333,0,4655,3540
334,0,4656,2172
335,0,4660,6455
336,0,4662,3508
337,0,4670,2346
338,0,4671,2339
339,0,4672,2200
340,0,4673,2167
341,0,4673,2517
342,0,4676,2172
343,0,4677,2166
344,0,4677,2378
345,0,4679,1918
346,0,4682,2493
347,0,4686,2213
348,0,4688,2487
349,0,4692,1907
350,0,4693,2338
351,0,4694,3463
352,0,4695,2334
353,0,4700,3318
354,0,4701,3314
355,0,4705,2539
356,0,4707,1943
357,0,4707,2399
358,0,4708,2265
359,0,4709,2114
360,0,4711,2097
361,0,4711,3616
362,0,4717,2528
363,0,4722,2183
364,0,4725,2457
365,0,4738,2457
366,0,4741,2613
367,0,4743,1954
368,0,4744,1926
369,0,4744,2634
370,0,4754,9075
371,0,4758,3271
372,0,4760,7653
373,0,4760,9081
374,0,4765,8015
375,0,4770,2355
376,0,4780,3248
377,0,4782,3221
378,0,4797,2168
379,0,4797,2510
380,0,4801,2147
381,0,4805,2142
382,0,4809,2430
383,0,4809,2598
384,0,4814,2888
385,0,4817,2467
386,0,4829,2290
387,0,4831,2133
388,0,4831,2506
389,0,4836,2520
390,0,4837,2047
391,0,4838,2475
392,0,4843,2336
393,0,4846,2149
394,0,4846,2481
395,0,4848,3587
396,0,4851,2150
397,0,4852,2463
398,0,4852,2989
399,0,4861,2487
400,0,4867,2475
401,0,4868,2676
402,0,4868,3372
403,0,4869,6279
404,0,4872,3685
405,0,4874,2942
406,0,4875,2970
407,0,4877,2531
408,0,4878,2370
409,0,4880,2619
410,0,4880,2929
411,0,4882,2383
412,0,4883,3262
413,0,4895,2508
414,0,4895,2950
415,0,4895,3397
416,0,4907,2406
417,0,4907,5270
418,0,4908,7801
419,0,4911,3080
420,0,4915,2289
421,0,4915,2511
422,0,4917,2127
423,0,4917,2295
424,0,4922,2315
425,0,4923,2669
426,0,4923,2833
427,0,4924,2989
428,0,4929,2395
429,0,4929,2484
430,0,4930,2510
431,0,4931,2399
432,0,4933,2382
433,0,4938,3220
434,0,4939,2259
435,0,4940,2253
436,0,4940,2285
437,0,4941,2495
438,0,4941,3010
439,0,4942,2320
440,0,4945,2274
441,0,4946,2336
442,0,4947,2344
443,0,4949,2476
444,0,4950,2489
445,0,4950,2522
446,0,4953,3062
447,0,4956,2268
448,0,4956,2326
449,0,4957,2329
450,0,4957,2466
451,0,4957,2542
452,0,4960,2478
453,0,4961,2342
454,0,4964,2362
455,0,4964,2542
456,0,4966,2268
457,0,4966,2426
458,0,4966,2526
459,0,4967,2390
460,0,4968,2397
461,0,4969,2917
462,0,4971,2411
463,0,4973,2315
464,0,4973,2342
465,0,4973,2555
466,0,4973,2913
467,0,4974,2704
468,0,4975,2408
469,0,4976,2372
470,0,4976,2538
471,0,4978,2402
472,0,4979,2922
473,0,4982,2543
474,0,4983,2278
475,0,4985,3261
476,0,4986,2519
477,0,4987,2248
478,0,4987,2254
479,0,4989,6573
480,0,4992,2433
481,0,4992,3190
482,0,4992,6569
483,0,4994,2264
484,0,4996,2228
485,0,4996,2235
486,0,4996,2586
487,0,5002,2232
488,0,5003,2594
489,0,5004,2204
490,0,5005,2514
491,0,5005,3334
492,0,5006,3135
493,0,5009,2222
494,0,5009,2457
495,0,5009,2491
496,0,5009,3321
497,0,5011,2497
498,0,5015,1975
499,0,5015,2226
500,0,5019,2985
501,0,5020,2989
502,0,5020,3248
503,0,5020,6528
504,0,5024,2516
505,0,5025,2466
506,0,5026,2123
507,0,5027,2520
508,0,5028,3005
509,0,5030,2741
510,0,5030,2982
511,0,5031,2481
512,0,5031,2815
513,0,5034,2483
514,0,5034,2535
515,0,5036,2477
516,0,5037,2203
517,0,5041,2856
518,0,5042,2209
519,0,5042,2501
520,0,5042,2512
521,0,5043,2553
522,0,5044,2593
523,0,5045,2203
524,0,5048,2512
525,0,5050,2593
526,0,5054,2599
527,0,5054,2661
528,0,5055,2502
529,0,5056,3194
530,0,5060,2172
531,0,5060,2552
532,0,5061,2185
533,0,5061,2196
534,0,5061,2611
